FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
"现在","xiànzài","いま、現在",zh-CN,zh-CN
"点","diǎn","〜時",zh-CN,zh-CN
"半","bàn","〜半、30分",zh-CN,zh-CN
"今天","jīntiān","今日",zh-CN,zh-CN
"晚上","wǎnshang","夜",zh-CN,zh-CN
"做","zuò","する、行う",zh-CN,zh-CN
"在","zài","〜で",zh-CN,zh-CN
"每天","měi tiān","毎日",zh-CN,zh-CN
"小时","xiǎoshí","〜時間",zh-CN,zh-CN
"大概","dàgài","だいたい",zh-CN,zh-CN
"跟","gēn","〜と",zh-CN,zh-CN
"给","gěi","〜に",zh-CN,zh-CN
"打电话","dǎ diànhuà","電話をする",zh-CN,zh-CN
"横滨","Héngbīn","横浜",zh-CN,zh-CN
"工作","gōngzuò","働く",zh-CN,zh-CN
"大衣","dàyī","コート",zh-CN,zh-CN
"孩子","háizi","子供",zh-CN,zh-CN
"们","men","〜たち",zh-CN,zh-CN
"奥林匹克","Àolínpǐkè","オリンピック",zh-CN,zh-CN
"前天","qiántiān","おととい",zh-CN,zh-CN
"昨天","zuótiān","きのう",zh-CN,zh-CN
"后天","hòutiān","あさって",zh-CN,zh-CN
"前年","qiánnián","おととし",zh-CN,zh-CN
"去年","qùnián","",zh-CN,zh-CN
"明年","míngnián","来年",zh-CN,zh-CN
"后年","hòunián","再来年",zh-CN,zh-CN
"分","fēn","〜分",zh-CN,zh-CN
"刻","kè","15分",zh-CN,zh-CN
"早上","zǎoshang","朝",zh-CN,zh-CN
"上午","shàngwǔ","午前",zh-CN,zh-CN
"中午","zhōngwǔ","昼",zh-CN,zh-CN
"下午","xiàwǔ","午後",zh-CN,zh-CN
"月","yuè","〜月、〜ヶ月",zh-CN,zh-CN
"号","hào","〜日",zh-CN,zh-CN
"生日","shēngrì","誕生日",zh-CN,zh-CN
"星期","xīngqī","〜曜日、週、〜週間",zh-CN,zh-CN
"星期天","xīngqītiān","日曜日",zh-CN,zh-CN
"上个","shàng ge","先〜、前の〜",zh-CN,zh-CN
"下个","xià ge","来〜、次の〜",zh-CN,zh-CN
"玩儿","wánr","遊ぶ",zh-CN,zh-CN
"发","fā","送る",zh-CN,zh-CN
"为什么","wèi shénme","なぜ、どうして",zh-CN,zh-CN
"礼拜","lǐbài","〜曜日、週、〜週間",zh-CN,zh-CN
"周","zhōu","〜曜日、週、〜週間",zh-CN,zh-CN
"天","tiān","〜日間",zh-CN,zh-CN
"年","nián","〜年、〜年間",zh-CN,zh-CN
"分钟","fēnzhōng","〜分間",zh-CN,zh-CN
"电视","diànshì","テレビ",zh-CN,zh-CN
"多长时间","duō cháng shíjiān","どれだけの時間",zh-CN,zh-CN
